set,idx,category,layer,proj_S1,proj_S2
S1_3P,62,A3,17,-9.387026951450139,-4.664426424212136
S1_3P,62,A3,18,-11.511988176314347,-3.0041147078707726
S1_3P,62,A3,19,-6.683538207431325,-7.405364246614094
S1_3P,62,A3,20,-16.38585275507968,-17.444253154730617
S1_3P,62,A3,21,-21.15500387843421,-24.398155187326914
S1_3P,62,A3,22,-16.325287835700514,-20.86338529864622
S1_3P,62,A3,23,-14.028830129571093,-25.193958327138645
S1_3P,62,A3,24,-12.278734405634914,-32.66065980402098
S1_3P,63,A4,0,-0.2634681067315069,-1.28424764937477
S1_3P,63,A4,1,0.11704991411043486,-0.3852584993752025
S1_3P,63,A4,2,-0.20050706892227826,-1.3913251336501036
S1_3P,63,A4,3,0.7018235670164568,-0.9689312906531525
S1_3P,63,A4,4,0.5026688776367325,-2.119477841920352
S1_3P,63,A4,5,0.4098473433384293,0.8810257773458454
S1_3P,63,A4,6,-1.2297554537154447,2.5704857435336517
S1_3P,63,A4,7,-3.565797246454366,-0.46139523091081935
S1_3P,63,A4,8,-4.146480365993795,1.9891234733977916
S1_3P,63,A4,9,-7.164814967408722,-0.1397586674611242
S1_3P,63,A4,10,-9.018163078278057,-0.04427522630156533
S1_3P,63,A4,11,-5.207014190277969,-0.01775827715433209
S1_3P,63,A4,12,-6.284788213834518,-3.1397190125259096
S1_3P,63,A4,13,-6.478795139397449,-10.19268660542672
S1_3P,63,A4,14,-8.484517288679768,-8.108618394867012
S1_3P,63,A4,15,-10.436502975497836,-8.31865268679285
S1_3P,63,A4,16,-12.059636567421403,-8.370728837789027
S1_3P,63,A4,17,-9.996732700409767,-4.383527024210679
S1_3P,63,A4,18,-14.147546721277816,-1.7528393486807783
S1_3P,63,A4,19,-16.043270516607315,-2.5030410323503895
S1_3P,63,A4,20,-22.920242021615785,-9.57285806185895
S1_3P,63,A4,21,-22.26322774391641,-10.347344983581667
S1_3P,63,A4,22,-19.1918250703529,-4.759499311696112
S1_3P,63,A4,23,-16.364126375251885,-4.309344498558051
S1_3P,63,A4,24,-14.71599249027579,-1.8621757727353971
S1_3P,64,A5,0,-0.48051251732246014,-1.2586438455778843
S1_3P,64,A5,1,-0.003003650505941119,-0.6907927769665605
S1_3P,64,A5,2,-0.5852289974503246,-1.3115851952169675
S1_3P,64,A5,3,0.33184494944213755,-1.361018692128555
S1_3P,64,A5,4,0.2232605508765546,-1.924638608830136
S1_3P,64,A5,5,0.5846658392602049,0.6875938425266801
S1_3P,64,A5,6,-1.3907081465095432,0.9799938359400995
S1_3P,64,A5,7,-3.790353151054971,0.0996263799692163
S1_3P,64,A5,8,-3.2024088244328617,1.6812642119456973
S1_3P,64,A5,9,-6.983558410926268,-0.34904838255825776
S1_3P,64,A5,10,-10.602685960679953,-0.99984413604103
S1_3P,64,A5,11,-6.4703858537779695,-1.460187315573403
S1_3P,64,A5,12,-7.627966321389802,-5.324776793574354
S1_3P,64,A5,13,-7.464141662767288,-11.898653083859914
S1_3P,64,A5,14,-8.83153824649939,-9.58388656713046
S1_3P,64,A5,15,-10.91986819562463,-8.86873805125338
