set,idx,category,layer,proj_S1,proj_S2
S1_1P,15,B,1,-1.3033275207772117,-0.26708327066252846
S1_1P,15,B,2,2.48688622589201,5.459661633768241
S1_1P,15,B,3,-7.0943991332189675,5.430871067995609
S1_1P,15,B,4,-8.284135498930056,-6.812220057917329
S1_1P,15,B,5,-2.764809598041461,3.4119001021213586
S1_1P,15,B,6,-14.222155309364174,-5.493728703369125
S1_1P,15,B,7,-3.6678610135728986,1.949657562846776
S1_1P,15,B,8,-8.524840462188815,2.878526387359106
S1_1P,15,B,9,2.0971870616064763,4.070652587440835
S1_1P,15,B,10,5.0560858815373155,11.534143688999116
S1_1P,15,B,11,7.335879541842151,6.323441520037239
S1_1P,15,B,12,-6.211418716231292,3.4931875832850583
S1_1P,15,B,13,-1.5956752599666943,1.5770016765727837
S1_1P,15,B,14,3.648953875172337,-2.3660664005361185
S1_1P,15,B,15,-24.19724536732105,-15.442162353830412
S1_1P,15,B,16,-11.683699711281609,-10.11130776681725
S1_1P,15,B,17,-2.426174471231726,-6.178357675069261
S1_1P,15,B,18,-18.787755650861204,-0.941327158214522
S1_1P,15,B,19,-5.01957555413186,2.1926154815751175
S1_1P,15,B,20,-18.470050933748254,-5.103832208374861
S1_1P,15,B,21,-18.501033819831306,-2.91576017999075
S1_1P,15,B,22,10.237471517718026,0.5173396907207102
S1_1P,15,B,23,-15.35664353450199,-12.78691896797082
S1_1P,15,B,24,-21.315891121499124,-14.980916826208047
S1_1P,15,B,25,34.92862669497475,13.50598478245812
S1_1P,16,C1,0,1.948708863958616,-1.3546236938637453
S1_1P,16,C1,1,-1.999817558207992,-0.5305402204511025
S1_1P,16,C1,2,2.123380298745273,4.418543656797744
S1_1P,16,C1,3,-7.5684485751555535,4.786693539274344
S1_1P,16,C1,4,-8.6188369557289,-6.43691510858698
S1_1P,16,C1,5,-3.706255218888214,2.331113738709443
S1_1P,16,C1,6,-14.25928753544608,-6.267452950482788
S1_1P,16,C1,7,-4.649021982991199,1.8150820223908217
S1_1P,16,C1,8,-10.504742917192518,3.8778501137362698
S1_1P,16,C1,9,-0.5388323247313753,5.2423768745510815
S1_1P,16,C1,10,1.888935369341346,11.37315581417618
S1_1P,16,C1,11,4.455245403170558,6.672558814519876
S1_1P,16,C1,12,-10.12446376471794,4.816948313063042
S1_1P,16,C1,13,-5.895081733694705,3.637137533413971
S1_1P,16,C1,14,0.23572294004613958,-2.263464140176799
S1_1P,16,C1,15,-25.487428878007915,-16.38325185215912
S1_1P,16,C1,16,-13.716448004305752,-11.823290484006552
S1_1P,16,C1,17,-6.997662796373465,-17.54226612123567
S1_1P,16,C1,18,-23.145989709880205,-12.310299599144026
S1_1P,16,C1,19,-27.532178620042643,-11.42536593548154
S1_1P,16,C1,20,-44.04818877826804,-21.11694990747246
S1_1P,16,C1,21,-50.131676911642,-20.95691511873413
S1_1P,16,C1,22,-32.106732464157076,-25.511263516431697
S1_1P,16,C1,23,-56.6569561859178,-40.53887228435313
S1_1P,16,C1,24,-52.52552266050808,-42.149714532879216
S1_1P,16,C1,25,-32.38106023659208,-8.1852315393258
S1_1P,17,C2,0,1.6478406296765864,-1.7469287120470969
S1_1P,17,C2,1,-2.703916887261493,-0.7987002109155966
S1_1P,17,C2,2,1.3186191591234913,3.8844538723367212
S1_1P,17,C2,3,-8.61165884653308,4.148760632234227
S1_1P,17,C2,4,-10.111209936687134,-7.396449088317309
S1_1P,17,C2,5,-5.131196192298899,2.264446633982877
S1_1P,17,C2,6,-15.688097343609734,-5.766961708980158
S1_1P,17,C2,7,-7.246874916519422,1.9799547098810333
S1_1P,17,C2,8,-12.473391902857205,3.7386898578461825
S1_1P,17,C2,9,-2.7979361963895197,4.791707152758519
S1_1P,17,C2,10,-0.38707472325729686,11.805753847181775
S1_1P,17,C2,11,1.8125177812157593,7.307440424313744
S1_1P,17,C2,12,-13.2974945379878,4.671243033654171
S1_1P,17,C2,13,-10.43545962402751,2.3738250108362084
S1_1P,17,C2,14,-6.1590113048770725,-1.1862337001719148
S1_1P,17,C2,15,-32.662048745020726,-15.898257804078906
S1_1P,17,C2,16,-26.09569842640335,-12.32683003190737
S1_1P,17,C2,17,-16.95100972046052,-15.706999575491968
